X[s],"R RECTUS FEMORIS: EMG 1->filter (FilterSlidingRMS33)"
0.000000,0
0.0005192308,0
0.001038462,0
0.001557692,0
0.002076923,0
0.002596154,0
0.003115385,0
0.003634615,0
0.004153846,0
0.004673077,0
0.005192308,0
0.005711539,0
0.006230769,0
0.00675,0
0.007269231,0
0.007788462,0
0.008307693,0
0.008826924,0
0.009346154,0
0.009865385,0
0.01038462,0
0.01090385,0
0.01142308,0
0.01194231,0
0.01246154,0
0.01298077,0
0.0135,0
0.01401923,0
0.01453846,0
0.01505769,0
0.01557692,0
0.01609615,0
0.01661539,0
0.01713462,0
0.01765385,0
0.01817308,0
0.01869231,0
0.01921154,0
0.01973077,0
0.02025,0
0.02076923,0
0.02128846,0
0.02180769,0
0.02232692,0
0.02284615,0
0.02336538,0
0.02388461,0
0.02440385,0
0.02492308,0
0.02544231,0
0.02596154,0
0.02648077,0
0.027,0
0.02751923,0
0.02803846,0
0.02855769,0
0.02907692,0
0.02959615,0
0.03011538,0
0.03063462,0
0.03115385,0
0.03167308,0
0.03219231,0
0.03271154,0
0.03323077,0
0.03375,0
0.03426923,0
0.03478846,0
0.03530769,0
0.03582693,0
0.03634615,0
0.03686538,0
0.03738461,0
0.03790385,0
0.03842308,0
0.03894231,0
0.03946154,0
0.03998077,0
0.0405,0
0.04101923,0
0.04153846,0
0.04205769,0
0.04257692,0
0.04309615,0
0.04361539,0
0.04413462,0
0.04465385,0
0.04517308,0
0.04569231,0
0.04621154,0
0.04673077,0
0.04725,0
0.04776923,0
0.04828846,0
0.04880769,0
0.04932692,0
0.04984615,0
0.05036538,0
0.05088462,0
0.05140385,0
0.05192308,0
0.05244231,0
0.05296154,0
0.05348077,0
0.054,0
0.05451923,0
0.05503846,0
0.05555769,0
0.05607693,0
0.05659616,0
0.05711538,0
0.05763461,0
0.05815385,0
0.05867308,0
0.05919231,0
0.05971154,0
0.06023077,0
0.06075,0
0.06126923,0
0.06178846,0
0.06230769,0
0.06282692,0
0.06334615,0
0.06386539,0
0.06438462,0
0.06490385,0
0.06542308,0
0.06594231,0
0.06646154,0
0.06698077,0
0.0675,0
0.06801923,0
0.06853846,0
0.0690577,0
0.06957693,0
0.07009616,0
0.07061539,0
0.07113462,0
0.07165385,0
0.07217308,0
0.0726923,0
0.07321154,0
0.07373077,0
0.07425,0
0.07476923,0
0.07528846,0
0.07580769,0
0.07632692,0
0.07684615,0
0.07736538,0
0.07788461,0
0.07840385,0
0.07892308,0
0.07944231,0
0.07996154,0
0.08048077,0
0.081,0
0.08151923,0
0.08203846,0
0.08255769,0
0.08307692,0
0.08359616,0
0.08411539,0
0.08463462,0
0.08515385,0
0.08567308,0
0.08619231,0
0.08671154,0
0.08723077,0
0.08775,0
0.08826923,0
0.08878846,0
0.0893077,0
0.08982693,0
0.09034616,0
0.09086539,0
0.09138462,0
0.09190385,0
0.09242308,0
0.09294231,0
0.09346154,0
0.09398077,0
0.0945,0
0.09501923,0
0.09553846,0
0.09605769,0
0.09657692,0
0.09709615,0
0.09761538,0
0.09813461,0
0.09865385,0
0.09917308,0
0.09969231,0
0.1002115,0
0.1007308,0
0.10125,0
0.1017692,0
0.1022885,0
0.1028077,0
0.1033269,0
0.1038462,0
0.1043654,0
0.1048846,0
0.1054038,0
0.1059231,0
0.1064423,0
0.1069615,0
0.1074808,0
0.108,0
0.1085192,0
0.1090385,0
0.1095577,0
0.1100769,0
0.1105962,0
0.1111154,0
0.1116346,0
0.1121539,0
0.1126731,0
0.1131923,0
0.1137115,0
0.1142308,0
0.11475,0
0.1152692,0
0.1157885,0
0.1163077,0
0.1168269,0
0.1173462,0
0.1178654,0
0.1183846,0
0.1189038,0
0.1194231,0
0.1199423,0
0.1204615,0
0.1209808,0
0.1215,0
0.1220192,0
0.1225385,0
0.1230577,0
0.1235769,0
0.1240962,0
0.1246154,0
0.1251346,0
0.1256538,0
0.1261731,0
0.1266923,0
0.1272115,0
0.1277308,0
0.12825,0
0.1287692,0
0.1292885,0
0.1298077,0
0.1303269,0
0.1308462,0
0.1313654,0
0.1318846,0
0.1324039,0
0.1329231,0
0.1334423,0
0.1339615,0
0.1344808,0
0.135,0
0.1355192,0
0.1360385,0
0.1365577,0
0.1370769,0
0.1375962,0
0.1381154,0
0.1386346,0
0.1391539,0
0.1396731,0
0.1401923,0
0.1407115,0
0.1412308,0
0.14175,0
0.1422692,0
0.1427885,0
0.1433077,0
0.1438269,0
0.1443462,0
0.1448654,0
0.1453846,0
0.1459038,0
0.1464231,0
0.1469423,0
0.1474615,0
0.1479808,0
0.1485,0
0.1490192,0
0.1495385,0
0.1500577,0
0.1505769,0
0.1510962,0
0.1516154,0
0.1521346,0
0.1526538,0
0.1531731,0
